date,change,id,band,call,freq,city,state,detail
2026-08-15,removed,AM1925,AM,KTMZ,1220,POMONA,CA,
2026-08-15,removed,AM33287,AM,WJTO,750,BATH,ME,
2026-08-15,removed,AM38453,AM,KGST,1600,FRESNO,CA,
2026-08-15,removed,FM122296,FM,WLRG,91.5,GREENVILLE,MS,
2026-08-15,removed,FX201072,FM,W287DD,105.3,BATH,ME,
2026-08-15,lat,AM100771,AM,XEPL,550,CD.CUAUHTEMOC,CH,28.410194 -> 28.445472
2026-08-15,lon,AM100771,AM,XEPL,550,CD.CUAUHTEMOC,CH,-106.921333 -> -106.807722
2026-08-15,erp,AM100772,AM,XEACD,550,ACAPULCO,GR,0.5 -> 2.5
2026-08-15,lat,AM100772,AM,XEACD,550,ACAPULCO,GR,16.845 -> 16.828333
2026-08-15,lon,AM100772,AM,XEACD,550,ACAPULCO,GR,-99.911111 -> -99.856111
2026-08-15,city,AM100799,AM,XEOC,560,MEXICO,DF,IZTAPALAPA -> MEXICO
2026-08-15,erp,AM100799,AM,XEOC,560,MEXICO,DF,5.0 -> 1.5
2026-08-15,lat,AM100799,AM,XEOC,560,MEXICO,DF,19.368056 -> 19.421667
2026-08-15,lon,AM100799,AM,XEOC,560,MEXICO,DF,-99.041667 -> -99.172222
2026-08-15,erp,AM100824,AM,XELQ,570,MORELIA,MC,1.0 -> 2.0
2026-08-15,lat,AM100824,AM,XELQ,570,MORELIA,MC,19.703333 -> 19.693333
2026-08-15,lon,AM100824,AM,XELQ,570,MORELIA,MC,-101.12 -> -101.147778
2026-08-15,city,AM100827,AM,XEBJB,570,EL COLORADO,NL,SAN NICOLAS DE LOS G -> EL COLORADO
2026-08-15,lat,AM100830,AM,XEOA,570,OAXACA,OA,17.0575 -> 17.062778
2026-08-15,lon,AM100830,AM,XEOA,570,OAXACA,OA,-96.719444 -> -96.7225
2026-08-15,erp,AM100840,AM,XEME,570,VALLADOLID,YC,1.0 -> 2.5
2026-08-15,lon,AM100840,AM,XEME,570,VALLADOLID,YC,-88.202167 -> -88.201889
2026-08-15,erp,AM100853,AM,CJTR,1140,TROIS RIVIERES,QC,10.0 -> 50.0
2026-08-15,lat,AM100853,AM,CJTR,1140,TROIS RIVIERES,QC,46.235861 -> 46.236694
2026-08-15,lon,AM100853,AM,CJTR,1140,TROIS RIVIERES,QC,-72.555972 -> -72.555139
2026-08-15,city,AM100879,AM,XEE,590,SAN FELIPE,DU,DURANGO -> SAN FELIPE
2026-08-15,lat,AM100879,AM,XEE,590,SAN FELIPE,DU,24.05475 -> 23.999472
2026-08-15,lon,AM100879,AM,XEE,590,SAN FELIPE,DU,-104.618611 -> -104.579444
2026-08-15,lat,AM100931,AM,XEUF,610,URUAPAN,MC,19.432778 -> 19.418889
2026-08-15,lon,AM100931,AM,XEUF,610,URUAPAN,MC,-102.061667 -> -102.075
2026-08-15,erp,AM100936,AM,XEGS,610,GUASAVE,SI,1.0 -> 25.0
2026-08-15,lat,AM100936,AM,XEGS,610,GUASAVE,SI,25.571611 -> 25.800778
2026-08-15,lon,AM100936,AM,XEGS,610,GUASAVE,SI,-108.495139 -> -109.042667
2026-08-15,erp,AM100944,AM,XEEL,610,FRESNILLO,ZA,10.0 -> 5.0
2026-08-15,city,AM100950,AM,XEBU,620,CHIHUAHUA,CH,EJIDO ROBINSON -> CHIHUAHUA
2026-08-15,erp,AM100950,AM,XEBU,620,CHIHUAHUA,CH,12.0 -> 5.0
2026-08-15,lat,AM100977,AM,XECCQ,630,CANCUN,QR,21.161528 -> 21.155972
2026-08-15,lon,AM100977,AM,XECCQ,630,CANCUN,QR,-86.851889 -> -86.825222
2026-08-15,city,AM100980,AM,XE,630,CANANEA,SO,SAN LUIS RIO COLORAD -> CANANEA
2026-08-15,erp,AM100980,AM,XE,630,CANANEA,SO,1.4 -> 0.75
2026-08-15,lat,AM100980,AM,XE,630,CANANEA,SO,32.480056 -> 30.964556
2026-08-15,lon,AM100980,AM,XE,630,CANANEA,SO,-114.774111 -> -110.338139
2026-08-15,lon,AM100982,AM,XEFX,630,GUAYMAS,SO,-110.909722 -> -110.912222
2026-08-15,erp,AM100992,AM,XEJUA,640,CD.JUAREZ,CH,10.0 -> 0.5
2026-08-15,city,AM101027,AM,XEPX,650,PUERTO ANGEL,OA,EL VIGIA -> PUERTO ANGEL
2026-08-15,erp,AM101027,AM,XEPX,650,PUERTO ANGEL,OA,5.0 -> 1.0
2026-08-15,lat,AM101027,AM,XEPX,650,PUERTO ANGEL,OA,15.717222 -> 15.658611
2026-08-15,lon,AM101027,AM,XEPX,650,PUERTO ANGEL,OA,-96.473333 -> -96.500833
2026-08-15,city,AM101030,AM,XEVSS,650,VILLA DE SERIS,SO,HERMOSILLO -> VILLA DE SERIS
2026-08-15,lat,AM101030,AM,XEVSS,650,VILLA DE SERIS,SO,29.076806 -> 29.046528
2026-08-15,lon,AM101030,AM,XEVSS,650,VILLA DE SERIS,SO,-110.991139 -> -111.010306
2026-08-15,erp,AM101035,AM,XEVG,650,MERIDA,YC,2.5 -> 0.5
2026-08-15,lat,AM101035,AM,XEVG,650,MERIDA,YC,21.048722 -> 20.982056
2026-08-15,lon,AM101035,AM,XEVG,650,MERIDA,YC,-89.636111 -> -89.588889
2026-08-15,lat,AM101051,AM,XEYG,660,MATIAS ROMERO,OA,16.880278 -> 16.873056
2026-08-15,lon,AM101051,AM,XEYG,660,MATIAS ROMERO,OA,-95.034167 -> -95.036111
2026-08-15,erp,AM101054,AM,XECPR,660,FELIPE CARRILLO PUER,QR,30.0 -> 1.0
2026-08-15,lat,AM101054,AM,XECPR,660,FELIPE CARRILLO PUER,QR,19.589167 -> 19.596111
2026-08-15,erp,AM101096,AM,XESON,680,HERMOSILLO,SO,1.0 -> 5.0
2026-08-15,city,AM101115,AM,XEMA,690,BUENAVISTA DE RIVERA,ZA,FRESNILLO -> BUENAVISTA DE RIVERA
2026-08-15,erp,AM101115,AM,XEMA,690,BUENAVISTA DE RIVERA,ZA,5.0 -> 50.0
2026-08-15,lat,AM101115,AM,XEMA,690,BUENAVISTA DE RIVERA,ZA,23.140056 -> 23.142
2026-08-15,lon,AM101115,AM,XEMA,690,BUENAVISTA DE RIVERA,ZA,-102.828 -> -102.833
2026-08-15,erp,AM101126,AM,XEDKR,700,TONALA,JA,10.0 -> 1.0
2026-08-15,lat,AM101126,AM,XEDKR,700,TONALA,JA,20.647028 -> 20.641472
2026-08-15,lon,AM101126,AM,XEDKR,700,TONALA,JA,-103.224556 -> -103.340111
2026-08-15,erp,AM101134,AM,XEDP,710,CD.CUAUHTEMOC,CH,7.0 -> 5.0
2026-08-15,lat,AM101134,AM,XEDP,710,CD.CUAUHTEMOC,CH,28.417972 -> 28.500194
2026-08-15,lon,AM101134,AM,XEDP,710,CD.CUAUHTEMOC,CH,-106.806611 -> -106.917722
2026-08-15,lat,AM101158,AM,XERPO,710,OAXACA,OA,17.069722 -> 17.051667
2026-08-15,lon,AM101158,AM,XERPO,710,OAXACA,OA,-96.732222 -> -96.684167
2026-08-15,city,AM101175,AM,XEDE,720,ARTEAGA,CI,SALTILLO -> ARTEAGA
2026-08-15,erp,AM101175,AM,XEDE,720,ARTEAGA,CI,2.5 -> 0.9
2026-08-15,lat,AM101175,AM,XEDE,720,ARTEAGA,CI,25.439222 -> 25.455056
2026-08-15,lon,AM101175,AM,XEDE,720,ARTEAGA,CI,-100.887806 -> -100.837528
2026-08-15,city,AM101201,AM,XEX,730,COL.EL VERGEL,DF,MEXICO -> COL.EL VERGEL
2026-08-15,lat,AM101201,AM,XEX,730,COL.EL VERGEL,DF,19.31 -> 19.312222
